0.024918,0.068971,0.074911,0.076353,0.11449,0.12689,0.15276,0.15953,0.16604,0.17812,0.19356,0.21674,0.23208,0.25592,0.28306,0.33575,0.35287,0.35311,0.37246,0.41835,0.44548,0.46187,0.48094,0.49044,0.49582,0.52474,0.52865,0.55199,0.56602,0.56837,0.59181,0.60598,0.69871,0.72651,0.73046,0.74135,0.76104,0.77945,0.79735,0.81333,0.81336,0.81781,0.86078,0.87536,0.88502,0.91658,0.92245,0.93743,0.95245,0.9782
0.97508,0.93103,0.92509,0.92365,0.88551,0.87311,0.84724,0.84047,0.83396,0.82188,0.80644,0.78326,0.76792,0.74408,0.71694,0.66425,0.64713,0.64689,0.62754,0.58165,0.55452,0.53813,0.51906,0.50956,0.50418,0.47526,0.47135,0.44801,0.43398,0.43163,0.40819,0.39402,0.30129,0.27349,0.26954,0.25865,0.23896,0.22055,0.20265,0.18667,0.18664,0.18219,0.13922,0.12464,0.11498,0.083425,0.07755,0.062575,0.047548,0.021797
Inf,0.4047,0.060341,0.036688,0.27485,0.19918,0.35741,0.47318,0.41493,0.17651,0.032281,0.11161,0.14114,0.29709,0.40979,0.39102,0.36011,0.1447,0.035445,0.065962,0.09012,0.035873,0.22864,0.12479,0.37967,0.091031,0.082128,0.16772,0.04153,0.19432,0.078832,0.33892,0.49794,0.33998,0.30659,0.13258,0.46087,0.47241,0.37267,0.27782,0.050171,0.19265,0.29958,0.12915,0.37967,0.40944,0.45993,0.26625,0.10902,0.4454
0.4047,Inf,0.26438,0.35168,0.39642,0.453,0.33311,0.21169,0.46863,0.012225,0.32385,0.36081,0.28508,0.0096556,0.0048572,0.34597,0.11602,0.18995,0.21761,0.14927,0.46084,0.17182,0.32602,0.4885,0.0034015,0.11876,0.046679,0.48205,0.2234,0.30646,0.20633,0.28662,0.16036,0.11041,0.37418,0.44036,0.45973,0.35739,0.21593,0.34808,0.045414,0.13454,0.42664,0.41706,0.30495,0.26692,0.14503,0.18077,0.23317,0.47301
0.060341,0.26438,Inf,0.19814,0.49992,0.44044,0.069847,0.16541,0.12936,0.44297,0.063388,0.36305,0.49546,0.31462,0.21116,0.23142,0.13855,0.21842,0.02163,0.41179,0.14961,0.21504,0.095721,0.10547,0.3481,0.4328,0.14311,0.21743,0.11402,0.21308,0.085263,0.088086,0.080518,0.07296,0.17425,0.47843,0.075834,0.4138,0.12552,0.25185,0.21507,0.26929,0.24015,0.25141,0.19728,0.14782,0.27585,0.25881,0.43689,0.33027
0.036688,0.35168,0.19814,Inf,0.32913,0.029511,0.2842,0.39047,0.32547,0.49163,0.12617,0.00017792,0.26918,0.42081,0.19434,0.20128,0.39994,0.074816,0.29781,0.15984,0.42174,0.064215,0.41242,0.48459,0.035379,0.18554,0.20179,0.14848,0.23102,0.031599,0.37169,0.21993,0.15891,0.30332,0.20152,0.035225,0.39273,0.14248,0.1819,0.24044,0.44813,0.27984,0.18898,0.40739,0.027253,0.28482,0.40651,0.41076,0.36363,0.39661
0.27485,0.39642,0.49992,0.32913,Inf,0.46455,0.20223,0.1137,0.22256,0.012562,0.42419,0.44949,0.33123,0.232,0.091677,0.16619,0.065323,0.11277,0.23239,0.16032,0.34911,0.10436,0.41826,0.35883,0.31374,0.18976,0.17035,0.2739,0.11654,0.24414,0.075324,0.38422,0.09467,0.042157,0.40076,0.258,0.14761,0.42058,0.047175,0.26536,0.133,0.49033,0.37994,0.09772,0.27345,0.26597,0.33794,0.17366,0.2153,0.40612
0.19918,0.453,0.44044,0.029511,0.46455,Inf,0.42835,0.24177,0.33556,0.48647,0.39381,0.3993,0.0016472,0.49336,0.39235,0.17599,0.40768,0.32691,0.014943,0.34664,0.21814,0.33511,0.29812,0.17985,0.12743,0.35221,0.3966,0.4679,0.044166,0.10893,0.051867,0.31263,0.10604,0.25018,0.25542,0.03968,0.012207,0.45154,0.41425,0.16547,0.15857,0.1857,0.4858,0.25015,0.061392,0.11148,0.32617,0.45546,0.098345,0.27824
0.35741,0.33311,0.069847,0.2842,0.20223,0.42835,Inf,0.49291,0.21927,0.25795,0.27559,0.49008,0.4185,0.49558,0.10447,0.18855,0.25045,0.087173,0.25495,0.20285,0.16265,0.38648,0.29383,0.031416,0.20302,0.057113,0.47664,0.13599,0.39922,0.37962,0.4403,0.34108,0.047069,0.45325,0.19634,0.25446,0.28392,0.13096,0.49757,0.28099,0.3658,0.10213,0.17616,0.30074,0.27124,0.087402,0.0028407,0.15641,0.13226,0.098668
0.47318,0.21169,0.16541,0.39047,0.1137,0.24177,0.49291,Inf,0.12734,0.19436,0.12006,0.20827,0.2826,0.35924,0.11195,0.43285,0.16099,0.14626,0.03341,0.18546,0.019386,0.20111,0.21195,0.057678,0.23955,0.14958,0.29483,0.15035,0.073239,0.4543,0.2695,0.37543,0.42916,0.25108,0.093804,0.1058,0.20592,0.24716,0.45975,0.037829,0.42236,0.10577,0.49708,0.11678,0.34774,0.27949,0.024859,0.13138,0.015859,0.27387
